Country;Year;Attack Type;Target Industry;Financial Loss (in Million $);Number of Affected Users;Attack Source;Security Vulnerability Type;Defense Mechanism Used;Incident Resolution Time (in Hours)
Brazil;2015;Ransomware;Retail;49.55;920172;Hacker Group;Weak Passwords;Antivirus;43
Brazil;2023;DDoS;Telecommunications;51.84;699007;Hacker Group;Social Engineering;VPN;30
Brazil;2023;Phishing;Healthcare;14.51;113777;Nation-state;Weak Passwords;VPN;27
Brazil;2020;Phishing;Banking;17.75;739540;Hacker Group;Zero-day;Encryption;31
Brazil;2016;DDoS;Education;96.98;140812;Nation-state;Unpatched Software;VPN;71
Brazil;2015;Phishing;Banking;43.4;191625;Hacker Group;Social Engineering;VPN;65
Brazil;2015;DDoS;IT;43.51;940656;Unknown;Weak Passwords;AI-based Detection;41
Brazil;2022;Phishing;Telecommunications;29.02;456783;Nation-state;Zero-day;Encryption;10
Brazil;2018;Malware;Education;6.63;274509;Hacker Group;Zero-day;Encryption;20
Brazil;2021;DDoS;IT;70.26;740257;Unknown;Weak Passwords;Encryption;70
Brazil;2022;DDoS;Retail;15.16;157034;Nation-state;Social Engineering;AI-based Detection;69
Brazil;2015;Malware;Retail;78.13;71743;Hacker Group;Unpatched Software;VPN;35
Brazil;2023;Man-in-the-Middle;IT;10.18;933883;Nation-state;Social Engineering;Encryption;41
Brazil;2020;DDoS;Banking;76.98;708549;Unknown;Weak Passwords;Encryption;37
Brazil;2020;DDoS;Retail;17.4;342253;Unknown;Weak Passwords;Encryption;22
Brazil;2023;SQL Injection;Retail;56.76;774426;Hacker Group;Social Engineering;AI-based Detection;21
Brazil;2019;SQL Injection;Banking;27.64;826256;Nation-state;Zero-day;VPN;50
Brazil;2023;Malware;Telecommunications;62.77;422623;Nation-state;Zero-day;AI-based Detection;55
Brazil;2021;Malware;Healthcare;83.06;937717;Unknown;Unpatched Software;Encryption;56
Brazil;2016;Malware;Healthcare;83.88;155059;Unknown;Unpatched Software;Antivirus;29
Brazil;2016;Malware;IT;99.29;273469;Insider;Social Engineering;AI-based Detection;67
Brazil;2020;Malware;Banking;79.61;755029;Nation-state;Weak Passwords;Firewall;27
Brazil;2017;Malware;Banking;99.22;660182;Insider;Weak Passwords;AI-based Detection;21
Brazil;2023;Man-in-the-Middle;Banking;20.15;376174;Unknown;Social Engineering;Firewall;43
Brazil;2016;SQL Injection;Education;55.83;758258;Unknown;Zero-day;Encryption;44
Brazil;2016;DDoS;IT;17.12;988369;Hacker Group;Weak Passwords;AI-based Detection;26
Brazil;2015;Ransomware;Healthcare;61.91;961557;Insider;Unpatched Software;Firewall;64
Brazil;2021;SQL Injection;Healthcare;54.59;437634;Unknown;Weak Passwords;AI-based Detection;29
Brazil;2018;Phishing;Banking;98.75;316891;Hacker Group;Social Engineering;Antivirus;55
Brazil;2016;Man-in-the-Middle;Retail;72.78;11339;Hacker Group;Social Engineering;AI-based Detection;34
Brazil;2018;Phishing;IT;13.89;30925;Insider;Zero-day;Encryption;43
Brazil;2020;Man-in-the-Middle;Government;32.72;220978;Nation-state;Zero-day;VPN;47
Brazil;2018;Phishing;Healthcare;99.14;456432;Insider;Weak Passwords;Antivirus;66
Brazil;2016;Man-in-the-Middle;IT;75.51;37230;Unknown;Social Engineering;AI-based Detection;52
Brazil;2018;SQL Injection;IT;98.38;661583;Insider;Social Engineering;Encryption;30
Brazil;2017;Ransomware;IT;9.43;493087;Hacker Group;Unpatched Software;Encryption;44
Brazil;2021;Man-in-the-Middle;IT;97.37;966570;Nation-state;Weak Passwords;Antivirus;32
Brazil;2016;SQL Injection;Telecommunications;73.76;393189;Unknown;Zero-day;Antivirus;37
Brazil;2024;DDoS;Banking;55.73;750979;Unknown;Social Engineering;AI-based Detection;30
Brazil;2024;Ransomware;Government;32.21;482574;Nation-state;Unpatched Software;Firewall;22
Brazil;2019;SQL Injection;Education;56.33;595157;Unknown;Zero-day;Encryption;41
Brazil;2018;DDoS;Telecommunications;82.05;322527;Nation-state;Weak Passwords;Firewall;46
Brazil;2023;Man-in-the-Middle;Retail;74.85;549300;Hacker Group;Weak Passwords;Antivirus;26
Brazil;2021;Ransomware;Government;74.01;956893;Unknown;Social Engineering;Antivirus;49
Brazil;2017;Malware;IT;9.59;912731;Nation-state;Zero-day;Firewall;4
Brazil;2016;DDoS;Healthcare;8.01;534847;Nation-state;Zero-day;Firewall;3
Brazil;2021;SQL Injection;Telecommunications;11.61;848702;Unknown;Weak Passwords;Antivirus;48
Brazil;2022;Phishing;Banking;75.01;771434;Hacker Group;Social Engineering;AI-based Detection;38
Brazil;2017;Phishing;Healthcare;68.99;526227;Hacker Group;Weak Passwords;VPN;62
