Country;Year;Attack Type;Target Industry;Financial Loss (in Million $);Number of Affected Users;Attack Source;Security Vulnerability Type;Defense Mechanism Used;Incident Resolution Time (in Hours)
Russia;2022;Malware;Retail;58.08;20875;Hacker Group;Weak Passwords;AI-based Detection;39
Nigeria;2024;Ransomware;IT;20.51;25117;Nation-state;Weak Passwords;Firewall;64
Russia;2018;DDoS;Banking;54.62;357400;Hacker Group;Social Engineering;Encryption;112
Australia;2016;Phishing;Banking;41.92;813025;Hacker Group;Social Engineering;Antivirus;65
France;2018;Malware;Telecommunications;56.59;212323;Unknown;Zero-day;AI-based Detection;100
France;2022;Ransomware;Education;7.12;506469;Insider;Weak Passwords;AI-based Detection;100
Brazil;2017;Man-in-the-Middle;Telecommunications;38.61;286632;Insider;Social Engineering;Firewall;59
USA;2024;Man-in-the-Middle;Healthcare;41.08;257150;Nation-state;Unpatched Software;Encryption;34
Germany;2021;DDoS;Retail;63.25;302419;Hacker Group;Unpatched Software;Encryption;53
Iran;2016;SQL Injection;Retail;45.71;948420;Insider;Zero-day;Firewall;92
China;2015;DDoS;Banking;98.82;824117;Unknown;Zero-day;Firewall;37
Spain;2020;Man-in-the-Middle;Government;5.26;860881;Insider;Weak Passwords;Firewall;43
France;2016;DDoS;Government;80.86;379296;Unknown;Social Engineering;Encryption;100
Canada;2023;Malware;Healthcare;23.57;454115;Nation-state;Zero-day;AI-based Detection;99
UK;2016;Ransomware;Education;52.32;851009;Insider;Weak Passwords;Encryption;83
Russia;2015;SQL Injection;Telecommunications;98.29;205092;Unknown;Zero-day;Firewall;44
Japan;2022;Phishing;Education;62.19;217358;Insider;Social Engineering;Antivirus;57
Nigeria;2018;DDoS;Government;62.08;336245;Nation-state;Unpatched Software;Antivirus;69
France;2015;DDoS;Education;72.6;522603;Unknown;Zero-day;VPN;66
Japan;2020;Ransomware;Banking;66.76;810875;Nation-state;Weak Passwords;Firewall;104
Japan;2018;Phishing;Government;22.32;620188;Insider;Social Engineering;VPN;108
Mexico;2016;Malware;Government;10.24;154163;Hacker Group;Zero-day;VPN;120
South Korea;2016;Malware;Banking;66.96;394242;Hacker Group;Unpatched Software;VPN;46
USA;2018;Phishing;Telecommunications;71.68;966027;Unknown;Social Engineering;Antivirus;69
South Africa;2024;Malware;Banking;51.03;80530;Insider;Social Engineering;AI-based Detection;74
Israel;2018;Ransomware;Banking;1.75;428568;Unknown;Weak Passwords;Antivirus;78
Spain;2021;Malware;Healthcare;37.18;700687;Insider;Social Engineering;VPN;35
UK;2024;SQL Injection;Healthcare;3.91;274475;Hacker Group;Zero-day;Firewall;31
South Korea;2015;Man-in-the-Middle;IT;60.94;831935;Unknown;Zero-day;AI-based Detection;111
South Africa;2015;Malware;Government;4.4;161514;Hacker Group;Zero-day;AI-based Detection;98
Iran;2024;SQL Injection;IT;87.93;290405;Unknown;Zero-day;Firewall;70
China;2017;Phishing;Retail;53.22;522535;Hacker Group;Social Engineering;VPN;28
Russia;2015;Phishing;Government;6.42;885041;Insider;Social Engineering;Antivirus;67
Italy;2024;Malware;Telecommunications;28.87;46574;Insider;Zero-day;Antivirus;67
